Week,Python,Java,C++,JavaScript,Ruby,Go,Swift,PHP,TypeScript,Kotlin
2024-01-01,13,13,15,13,10,13,11,11,14,13
2024-01-02,13,10,12,12,15,11,13,15,11,13
2024-01-03,10,14,15,12,11,11,15,12,11,10
2024-01-04,15,14,15,14,11,13,15,14,11,14
2024-01-05,12,14,15,13,10,11,12,13,10,11
2024-01-06,13,12,10,15,12,15,14,12,13,14
2024-01-07,15,14,14,15,11,12,12,15,11,14
2024-01-08,11,12,14,12,15,14,13,13,11,10
2024-01-09,11,14,14,12,11,10,10,12,11,10
2024-01-10,14,13,13,10,13,14,13,10,10,15
2024-01-11,13,12,12,10,15,13,14,11,12,12
2024-01-12,13,10,11,14,12,15,15,10,13,12
2024-01-13,15,15,15,13,10,12,15,15,15,11
2024-01-14,11,10,13,12,11,12,12,14,13,14
2024-01-15,14,13,12,13,10,15,15,14,10,10
